SPECIESSCIENTIFICNAME,SPECIESCOMMONNAME,SpeciesCommonNameNew,Habitat,OtherCategory,GENUS,SPECIES,Species 2,Species,Identifier
RAJA EGLANTERIA,CLEARNOSE SKATE,Clearnose Skate,Demersal,Elasmobranchs,R, EGLANTERIA,R. eglanteria,R. eglanteria,A
REMORA REMORA,REMORA,Remora,Pelagic,,R, REMORA,R. remora,R. remora,A
RHINOPTERA BONASUS,COWNOSE RAY,Cownose Ray,Demersal,Elasmobranchs,R, BONASUS,R. bonasus,R. bonasus,A
RHIZOPRIONODON TERRAENOVAE,ATLANTIC SHARPNOSE SHARK,Atlantic Sharpnose Shark,Pelagic,Elasmobranchs,R, TERRAENOVAE,R. terraenovae,R. terraenovae,A
RIMAPENAEUS CONSTRICTUS,ROUGHNECK SHRIMP,Roughneck Shrimp,Demersal,Crustacean,R, CONSTRICTUS,R. constrictus,R. constrictus,A
SARDINELLA AURITA,SCAD,Scad,Pelagic,Forage Fishes,S, AURITA,S. aurita,S. aurita,A
SCIAENOPS OCELLATUS,RED DRUM,Red Drum,Demersal,,S, OCELLATUS,S. ocellatus,S. ocellatus,A
SCOMBER SCOMBRUS,ATLANTIC MACKEREL,Atlantic Mackerel,Pelagic,,S, SCOMBRUS,S. scombrus,S. scombrus,A
SCOMBEROMORUS CAVALLA,KING MACKEREL,King Mackerel,Pelagic,,S, CAVALLA,S. cavalla,S. cavalla,A
SCOMBEROMORUS MACULATUS,SPANISH MACKEREL,Spanish Mackerel,Pelagic,,S, MACULATUS,S. maculatus,S. maculatus,A
SCOPHTHALMUS AQUOSUS,WINDOWPANE,Windowpane,Demersal,,S, AQUOSUS,S. aquosus,S. aquosus,A
SCORPAENA BRASILIENSIS,BARBFISH,Barbfish,Demersal,,S, BRASILIENSIS,S. brasiliensis,S. brasiliensis,A
SELENE SETAPINNIS,ATLANTIC MOONFISH,Atlantic Moonfish,Pelagic,,S, SETAPINNIS,S. setapinnis,S. setapinnis,A
SELENE VOMER,LOOKDOWN,Lookdown,Pelagic,,S, VOMER,S. vomer,S. vomer,A
SERIOLA RIVOLIANA,PACIFIC AMBERJACK,Pacific Amberjack,Demersal,,S, RIVOLIANA,S. rivoliana,S. rivoliana,A
SERIOLA ZONATA,BANDED RUDDERFISH,Banded Rudderfish,Pelagic,,S, ZONATA,S. zonata,S. zonata,A
SICYONIA SPP,ROCK SHRIMPS,Rock Shrimps,Demersal,Crustacean,S, SPP,S. spp,Sicyonia spp.,A
SICYONIA BREVIROSTRIS,BROWN ROCK SHRIMP,Brown Rock Shrimp,Demersal,Crustacean,S, BREVIROSTRIS,S. brevirostris,S. brevirostris,A
SPHOEROIDES MACULATUS,NORTHERN PUFFER,Northern Puffer,Demersal,,S, MACULATUS,S. maculatus,S. maculatus,A
SPHOEROIDES NEPHELUS,SOUTHERN PUFFER,Southern Puffer,Demersal,,S, NEPHELUS,S. nephelus,S. nephelus,A
SPHYRAENA SPP,BARRACUDAS,Barracudas,Pelagic,,S, SPP,S. spp,Sphyraena spp.,A
SPHYRAENA BARRACUDA,GREAT BARRACUDA,Great Barracuda,Demersal,,S, BARRACUDA,S. barracuda,S. barracuda,A
SPHYRAENA BOREALIS,NORTHERN SENNET,Northern Sennet,Demersal,,S, BOREALIS,S. borealis,S. borealis,A
SPHYRAENA GUACHANCHO,GUAGUANCHE,Guaguanche,Pelagic,,S, GUACHANCHO,S. guachancho,S. guachancho,A
SQUALUS ACANTHIAS,SPINY DOGFISH,Spiny Dogfish,Demersal,,S, ACANTHIAS,S. acanthias,S. acanthias,A
SQUILLA SPP,,Mantis Shrimp,Demersal,Crustacean,S, SPP,S. spp,Squilla spp.,A
SQUILLA EMPUSA,,Mantis Shrimp,Demersal,Crustacean,S, EMPUSA,S. empusa,S. empusa,A
STELLIFER LANCEOLATUS,STAR DRUM,Star Drum,Demersal,,S, LANCEOLATUS,S. lanceolatus,S. lanceolatus,A
STENOTOMUS CAPRINUS,LONGSPINE PORGY,Longspine Porgy,Demersal,,S, CAPRINUS,S. caprinus,S. caprinus,A
STENOTOMUS CHRYSOPS,SCUP,Scup,Demersal,,S, CHRYSOPS,S. chrysops,S. chrysops,A
STEPHANOLEPIS HISPIDA,PLANEHEAD FILEFISH,Planehead Filefish,Demersal,,S, HISPIDA,S. hispida,S. hispida,A
STRONGYLURA MARINA,ATLANTIC NEEDLEFISH,Atlantic Needlefish,Demersal,,S, MARINA,S. marina,S. marina,A
SYMPHURUS SPP,STRAIGHTMOUTH TOUNGEFISHES,Other Tonguefishes,Demersal,,S, SPP,S. spp,Symphurus spp.,A
SYMPHURUS PLAGIUSA,BLACKCHEEK TONGUEFISH,Blackcheek Tonguefish,Demersal,,S, PLAGIUSA,S. plagiusa,S. plagiusa,A
