"","lat_lon","gridID","dist_inlets","Wbd","Wbd_type"
"314","34.13194_-77.95528",98,9760.96228036822,"Cape Fear River","River"
"315","34.10389_-77.92556",99,5748.21005659951,"Cape Fear River","River"
"316","34.01917_-77.92889",69,8466.40695816685,"Cape Fear River","River"
"317","34.06861_-77.92528",69,5098.00425394274,"Cape Fear River","River"
"318","34.07389_-77.94056",68,6406.47095618241,"Cape Fear River","River"
"319","34.0875_-77.92417",69,4979.18808942262,"Cape Fear River","River"
"320","34.04389_-77.9325",68,6828.910571222,"Cape Fear River","River"
"321","34.01944_-77.92917",69,8459.30605198352,"Cape Fear River","River"
"322","34.1275_-77.94389",98,8632.30669982483,"Cape Fear River","River"
"323","34.075_-77.94083",68,6422.66715816909,"Cape Fear River","River"
"324","34.02556_-77.91667",69,7219.42409811359,"Cape Fear River","River"
"325","34.04_-77.92056",69,6240.06488923896,"Cape Fear River","River"
"326","34.02444_-77.9175",69,7365.24888131638,"Cape Fear River","River"
"327","34.07194_-77.92528",69,5031.45264301268,"Cape Fear River","River"
"328","34.04306_-77.94444",68,7808.96681533059,"Cape Fear River","River"
"329","34.12722_-77.92583",99,7395.35087590208,"Cape Fear River","River"
"330","34.0875_-77.92333",69,4903.44991732326,"Cape Fear River","River"
"331","33.99639_-77.93333",68,10770.9213868077,"Cape Fear River","River"
"332","34.07472_-77.94083",68,6424.61239251503,"Cape Fear River","River"
"333","33.99972_-77.91972",69,9829.03816762622,"Cape Fear River","River"
"334","34.12889_-77.92667",99,7584.39149017233,"Cape Fear River","River"
"335","34.0975_-77.93",99,5812.74646775604,"Cape Fear River","River"
"336","34.10222_-77.94694",98,7456.97313763164,"Cape Fear River","River"
"337","34.0325_-77.98611",68,11752.9294611088,"Cape Fear River","River"
"338","33.97417_-77.92194",39,12502.0411548389,"Cape Fear River","River"
"339","34.13278_-77.92972",99,8093.64675631293,"Cape Fear River","River"
"340","33.99694_-77.9325",68,10678.5136097294,"Cape Fear River","River"
"341","34.07306_-77.925",69,4989.4149314545,"Cape Fear River","River"
"342","34.06861_-77.94111",68,6529.55456410289,"Cape Fear River","River"
"343","34.05806_-77.91917",69,4964.6544873171,"Cape Fear River","River"
"344","34.12556_-77.94389",98,8497.71475915224,"Cape Fear River","River"
"345","34.06778_-77.92472",69,5068.4689532894,"Cape Fear River","River"
"346","34.12556_-77.92889",99,7458.98804800038,"Cape Fear River","River"
"347","34.00167_-77.9375",68,10496.9775055339,"Cape Fear River","River"
"348","34.12833_-77.92667",99,7538.47087675144,"Cape Fear River","River"
"349","34.05917_-77.92028",69,5001.66959713245,"Cape Fear River","River"
"350","34.12167_-77.95167",98,8829.96122248248,"Cape Fear River","River"
"351","34.09722_-77.93222",98,5992.68251809666,"Cape Fear River","River"
"352","34.11333_-77.94222",98,7601.64494904618,"Cape Fear River","River"
"353","34.00056_-77.93167",68,10297.4236371573,"Cape Fear River","River"
"354","34.06056_-77.92056",69,4960.97875741401,"Cape Fear River","River"
"355","34.00833_-77.91722",69,8874.47352181191,"Cape Fear River","River"
"356","34.04611_-77.94528",68,7711.9364703034,"Cape Fear River","River"
"357","34.11_-77.9325",98,6644.49238360435,"Cape Fear River","River"
"358","34.08639_-77.94083",68,6471.28592169766,"Cape Fear River","River"
"359","34.09778_-77.92944",99,5776.25837980462,"Cape Fear River","River"
"360","34.07361_-77.92472",69,4956.78593907611,"Cape Fear River","River"
"361","33.9975_-77.93833",68,10920.6594459697,"Cape Fear River","River"
"362","34.08944_-77.92528",69,5126.39206776825,"Cape Fear River","River"
"363","34.065_-77.92306",69,5003.57131254992,"Cape Fear River","River"
"364","34.11583_-77.9275",99,6643.20368260063,"Cape Fear River","River"
"365","34.05361_-77.94222",68,7099.37779527078,"Cape Fear River","River"
"366","34.11194_-77.92917",99,6507.08800202629,"Cape Fear River","River"
"367","34.125_-77.94333",98,8418.76462363065,"Cape Fear River","River"
"368","33.97167_-77.92083",39,12723.2018482446,"Cape Fear River","River"
"369","34.04417_-77.9325",68,6811.43092241306,"Cape Fear River","River"
"370","34.10611_-77.9275",99,6026.48821584918,"Cape Fear River","River"
"371","34.09222_-77.945",98,6964.96919182169,"Cape Fear River","River"
"372","34.04694_-77.94528",68,7669.30635718332,"Cape Fear River","River"
"373","34.07194_-77.93139",68,5588.93575173386,"Cape Fear River","River"
"374","34.05028_-77.94361",68,7367.26653695401,"Cape Fear River","River"
"375","34.09722_-77.91944",99,4906.61829837367,"Cape Fear River","River"
"376","34.12694_-77.94694",98,8813.53914373938,"Cape Fear River","River"
"377","34.03611_-77.92667",69,6946.85594485963,"Cape Fear River","River"
"378","34.13083_-77.95444",98,9624.60352475147,"Cape Fear River","River"
"379","34.03278_-77.91944",69,6747.01496906022,"Cape Fear River","River"
"380","33.98083_-77.92139",39,11798.4055745733,"Cape Fear River","River"
"381","34.09694_-77.92972",99,5766.26360144895,"Cape Fear River","River"
"382","34.09778_-77.92917",99,5753.18732204918,"Cape Fear River","River"
"383","34.00167_-77.93139",68,10179.7367039186,"Cape Fear River","River"
"384","34.00639_-77.93167",68,9758.37220248474,"Cape Fear River","River"
