"","lat_lon","gridID"
"6091","34.58472_-77.37583",67
"6092","34.67444_-77.39972",67
"6093","34.71667_-77.43083",67
"6094","34.61389_-77.40833",67
"6095","34.72056_-77.40944",67
"6096","34.62861_-77.34806",67
"6097","34.69833_-77.41694",67
"6098","34.61389_-77.39167",67
"6099","34.72278_-77.38722",67
"6100","34.64222_-77.37139",67
"6101","34.7125_-77.39639",67
"6102","34.60194_-77.39028",67
"6103","34.72806_-77.36889",67
"6104","34.58444_-77.39556",67
"6105","34.72222_-77.37556",67
"6106","34.60167_-77.38806",67
"6107","34.73667_-77.42778",67
"6108","34.61778_-77.41139",67
"6109","34.5875_-77.43278",67
"6110","34.69139_-77.42194",67
"6111","34.58361_-77.37667",67
"6112","34.70806_-77.39111",67
"6113","34.69444_-77.37361",67
"6114","34.57333_-77.40583",67
"6115","34.72306_-77.42833",67
"6116","34.62083_-77.35806",67
"6117","34.60139_-77.37694",67
"6118","34.65944_-77.35667",67
"6119","34.61667_-77.41583",67
"6120","34.70139_-77.4275",67
"6121","34.685_-77.43139",67
"6122","34.58556_-77.39389",67
"6123","34.7275_-77.38722",67
"6125","34.59278_-77.43722",67
"6126","34.68_-77.36194",67
"6127","34.63611_-77.34111",67
"6128","34.72861_-77.39417",67
"6129","34.67333_-77.39833",67
"6130","34.57778_-77.38167",67
"6131","34.70639_-77.38694",67
"6132","34.58694_-77.38833",67
"6133","34.65556_-77.38056",67
"6134","34.5725_-77.34444",67
"6135","34.675_-77.39944",67
"6137","34.65222_-77.34778",67
"6138","34.61778_-77.38806",67
"6139","34.68944_-77.425",67
"6140","34.6175_-77.41333",67
"6141","34.67_-77.36083",67
"6142","34.62167_-77.35722",67
"6143","34.7225_-77.39361",67
"6144","34.63694_-77.34056",67
"6145","34.57667_-77.36111",67
"6146","34.61222_-77.39389",67
"6147","34.68556_-77.37028",67
"6148","34.6275_-77.35",67
"6149","34.63583_-77.37667",67
"6150","34.62_-77.38528",67
"6151","34.67306_-77.39861",67
"6152","34.68139_-77.40361",67
"6154","34.7325_-77.42778",67
"6155","34.67222_-77.36556",67
"6157","34.72917_-77.36389",67
"6158","34.6175_-77.42639",67
"6159","34.67_-77.36222",67
"6160","34.60528_-77.37389",67
"6161","34.68778_-77.40944",67
"6162","34.58111_-77.42472",67
"6163","34.70111_-77.41306",67
"6164","34.61389_-77.40917",67
"6165","34.70083_-77.41417",67
"6166","34.60861_-77.36639",67
"6167","34.73583_-77.425",67
"6168","34.61306_-77.40778",67
"6169","34.64389_-77.37139",67
"6170","34.58361_-77.37778",67
"6171","34.73639_-77.42389",67
"6172","34.6225_-77.37667",67
"6173","34.725_-77.36306",67
"6174","34.5725_-77.36",67
"6175","34.66417_-77.38167",67
"6176","34.58611_-77.43167",67
"6177","34.71889_-77.41694",67
"6178","34.58417_-77.395",67
"6179","34.69639_-77.41028",67
"6180","34.57861_-77.42056",67
"6181","34.73861_-77.42417",67
"6182","34.62556_-77.37417",67
"6183","34.67056_-77.36083",67
"6185","34.70611_-77.42944",67
"6186","34.61972_-77.42667",67
"6187","34.68889_-77.40972",67
"6188","34.59278_-77.43667",67
"6189","34.72694_-77.42417",67
"6190","34.61361_-77.4075",67
"6191","34.72333_-77.39306",67
